Level,Scope,Date,Wday,Daily_Count,Daily_Avg_Mins,Daily_Med_Mins
Nacional,Total,2026-01-17,sábado,2479,23.09728778892563,11.17
Nacional,Total,2026-01-18,domingo,3974,17.301501672902294,7.91
Provincial,A Coruña,2026-01-17,sábado,98,21.8992420485884,10.845
Provincial,A Coruña,2026-01-18,domingo,108,18.874975262832407,11.335
Provincial,Alacant/Alicante,2026-01-17,sábado,85,21.054400793650792,8.32
Provincial,Alacant/Alicante,2026-01-18,domingo,184,18.43834234078234,8.73
Provincial,Albacete,2026-01-17,sábado,25,22.488083333333336,17.57
Provincial,Albacete,2026-01-18,domingo,43,27.987037037037037,26.3475
Provincial,Almería,2026-01-17,sábado,36,32.81304887820513,30.2075
Provincial,Almería,2026-01-18,domingo,101,20.482291937229437,5.14
Provincial,Asturias,2026-01-17,sábado,58,28.808664772727273,14.030000000000001
Provincial,Asturias,2026-01-18,domingo,42,22.169641025641027,15.13
Provincial,Badajoz,2026-01-17,sábado,18,12.047888888888888,7.0625
Provincial,Badajoz,2026-01-18,domingo,67,23.556691637338695,15.455
Provincial,Barcelona,2026-01-17,sábado,40,34.93618055555556,42.120000000000005
Provincial,Barcelona,2026-01-18,domingo,46,39.07053015873016,38.650000000000006
Provincial,Burgos,2026-01-17,sábado,29,26.935043209876543,19.41
Provincial,Burgos,2026-01-18,domingo,33,25.502483333333334,16.5675
Provincial,Cantabria,2026-01-17,sábado,80,21.660096412846414,16.1
Provincial,Cantabria,2026-01-18,domingo,85,21.033832833832832,11.45
Provincial,Castelló/Castellón,2026-01-17,sábado,31,26.251121794871796,21.8425
Provincial,Castelló/Castellón,2026-01-18,domingo,90,13.480848412698412,5.24
Provincial,Ceuta,2026-01-17,sábado,1,13.76,13.76
Provincial,Ceuta,2026-01-18,domingo,1,1.93,1.93
Provincial,Ciudad Real,2026-01-17,sábado,42,24.040596520763188,12.82
Provincial,Ciudad Real,2026-01-18,domingo,51,12.309586980920313,1.585
Provincial,Cuenca,2026-01-17,sábado,27,27.115555555555556,20.83
Provincial,Cuenca,2026-01-18,domingo,55,16.597220524573466,4.02
Provincial,Cáceres,2026-01-17,sábado,29,23.447575396825396,11.157499999999999
Provincial,Cáceres,2026-01-18,domingo,45,27.162964285714285,24.3125
Provincial,Cádiz,2026-01-17,sábado,53,28.68546737213404,28.84
Provincial,Cádiz,2026-01-18,domingo,62,27.08051282051282,31.07
Provincial,Córdoba,2026-01-17,sábado,67,20.90353923853924,8.89
Provincial,Córdoba,2026-01-18,domingo,108,16.752381224801134,3.8025
Provincial,Girona,2026-01-17,sábado,4,29.877499999999998,20.095
Provincial,Girona,2026-01-18,domingo,10,28.95,25.11
Provincial,Granada,2026-01-17,sábado,74,21.917079673088445,10.35
Provincial,Granada,2026-01-18,domingo,186,11.880275936213867,1.86
Provincial,Guadalajara,2026-01-17,sábado,24,25.60690476190476,15.16
Provincial,Guadalajara,2026-01-18,domingo,23,10.170520833333333,9.285
Provincial,Huelva,2026-01-17,sábado,53,15.593869047619048,7.8325
Provincial,Huelva,2026-01-18,domingo,96,21.833925236985237,6.835
Provincial,Huesca,2026-01-17,sábado,16,40.416785714285716,42.92
Provincial,Huesca,2026-01-18,domingo,62,24.369,19.095
Provincial,Illes Balears,2026-01-17,sábado,41,19.156693602693604,18.59
Provincial,Illes Balears,2026-01-18,domingo,126,17.965002567693745,10.885
Provincial,Jaén,2026-01-17,sábado,41,21.781523313492062,13.055
Provincial,Jaén,2026-01-18,domingo,115,6.276587868360596,1.54
Provincial,La Rioja,2026-01-17,sábado,4,15.613333333333332,7.77
Provincial,La Rioja,2026-01-18,domingo,27,16.827291666666667,5.9275
Provincial,Las Palmas,2026-01-17,sábado,57,19.631506172839508,8.805
