Prov,Road,Timestamp,Count,Min_PK,Max_PK,Bracket
A Coruña,AC-10,2026-01-17T10:00:00Z,1,1.458,1.458,06:00-12:00
A Coruña,A-6,2026-01-17T11:00:00Z,1,580.432,580.432,06:00-12:00
A Coruña,AC-552,2026-01-17T12:00:00Z,2,25.238,25.351,12:00-18:00
A Coruña,AC-10,2026-01-17T13:00:00Z,1,1.522,1.522,12:00-18:00
A Coruña,AC-012,2026-01-17T19:00:00Z,1,2.912,2.912,18:00-00:00
A Coruña,AP-9F,2026-01-17T20:00:00Z,6,0.658,31.919,18:00-00:00
A Coruña,N-550,2026-01-17T21:00:00Z,4,6.966,83.606,18:00-00:00
A Coruña,AC-11,2026-01-17T22:00:00Z,1,3.307,3.307,18:00-00:00
A Coruña,AG-64,2026-01-17T23:00:00Z,2,9.22,9.223,18:00-00:00
A Coruña,AC-10,2026-01-18T00:00:00Z,1,1.525,1.525,00:00-06:00
A Coruña,DP-0812,2026-01-18T01:00:00Z,1,0.427,0.427,00:00-06:00
A Coruña,VG-1.3,2026-01-18T02:00:00Z,2,0.345,4.79,00:00-06:00
A Coruña,DP-1105,2026-01-18T03:00:00Z,2,7.696,11.116,00:00-06:00
A Coruña,N-550,2026-01-18T04:00:00Z,2,11.478,67.272,00:00-06:00
A Coruña,N-550,2026-01-18T05:00:00Z,3,67.148,83.599,00:00-06:00
A Coruña,DP-6110,2026-01-18T07:00:00Z,1,0.033,0.033,06:00-12:00
A Coruña,AC-12,2026-01-18T08:00:00Z,2,7.489,8.057,06:00-12:00
A Coruña,AC-841,2026-01-18T09:00:00Z,3,2.111,3.758,06:00-12:00
A Coruña,A-6,2026-01-18T10:00:00Z,3,555.226,580.026,06:00-12:00
A Coruña,A-6,2026-01-18T11:00:00Z,3,557.74,592.914,06:00-12:00
A Coruña,AC-862,2026-01-18T12:00:00Z,3,0.062,40.988,12:00-18:00
A Coruña,AC-133,2026-01-18T16:00:00Z,1,0.043,0.043,12:00-18:00
A Coruña,AC-122,2026-01-18T17:00:00Z,1,3.569,3.569,12:00-18:00
Alacant/Alicante,N-332,2026-01-17T10:00:00Z,3,107.432,119.277,06:00-12:00
Alacant/Alicante,A-31,2026-01-17T11:00:00Z,2,234.081,239.061,06:00-12:00
Alacant/Alicante,AP-7,2026-01-17T12:00:00Z,1,752.773,752.773,12:00-18:00
Alacant/Alicante,A-79,2026-01-17T13:00:00Z,1,0.231,0.231,12:00-18:00
Alacant/Alicante,A-70,2026-01-17T19:00:00Z,1,21.53,21.53,18:00-00:00
Alacant/Alicante,CV-81,2026-01-17T20:00:00Z,3,43.597,56.974,18:00-00:00
Alacant/Alicante,A-31,2026-01-17T21:00:00Z,2,206.698,211.81,18:00-00:00
Alacant/Alicante,A-7,2026-01-17T22:00:00Z,3,458.929,479.356,18:00-00:00
Alacant/Alicante,A-7,2026-01-17T23:00:00Z,5,458.245,489.27,18:00-00:00
Alacant/Alicante,A-31,2026-01-18T00:00:00Z,1,220.997,220.997,00:00-06:00
Alacant/Alicante,A-7,2026-01-18T01:00:00Z,2,460.882,467.014,00:00-06:00
Alacant/Alicante,A-31,2026-01-18T02:00:00Z,2,218.814,236.159,00:00-06:00
Alacant/Alicante,A-79,2026-01-18T03:00:00Z,1,1.19,1.19,00:00-06:00
Alacant/Alicante,A-70,2026-01-18T04:00:00Z,1,0.398,0.398,00:00-06:00
Alacant/Alicante,CV-921,2026-01-18T05:00:00Z,1,0.007,0.007,00:00-06:00
Alacant/Alicante,N-332,2026-01-18T06:00:00Z,3,59.376,67.735,06:00-12:00
Alacant/Alicante,N-332a,2026-01-18T07:00:00Z,2,138.14,138.443,06:00-12:00
Alacant/Alicante,N-332,2026-01-18T08:00:00Z,8,113.721,198.81,06:00-12:00
Alacant/Alicante,AP-7,2026-01-18T09:00:00Z,11,652.962,701.081,06:00-12:00
Alacant/Alicante,AP-7,2026-01-18T10:00:00Z,5,602.537,671.86,06:00-12:00
Alacant/Alicante,N-332,2026-01-18T11:00:00Z,6,107.457,197.714,06:00-12:00
Alacant/Alicante,N-332,2026-01-18T12:00:00Z,7,54.564,158.12,12:00-18:00
Alacant/Alicante,A-31,2026-01-18T16:00:00Z,3,203.436,213.015,12:00-18:00
Alacant/Alicante,AP-7,2026-01-18T17:00:00Z,2,676.183,676.864,12:00-18:00
Albacete,AB-201,2026-01-17T10:00:00Z,1,0.348,0.348,06:00-12:00
Albacete,A-30,2026-01-17T11:00:00Z,1,43.762,43.762,06:00-12:00
Albacete,CM-3217,2026-01-17T12:00:00Z,2,17.983,20.372,12:00-18:00
Albacete,AB-503,2026-01-17T19:00:00Z,1,5.519,5.519,18:00-00:00
Albacete,CM-3203,2026-01-17T20:00:00Z,6,60.275,80.9,18:00-00:00
Albacete,CM-3203,2026-01-17T21:00:00Z,1,57.094,57.094,18:00-00:00
Albacete,A-31,2026-01-18T00:00:00Z,1,126.496,126.496,00:00-06:00
Albacete,A-30,2026-01-18T01:00:00Z,2,68.682,69.039,00:00-06:00
Albacete,N-344,2026-01-18T03:00:00Z,1,113.388,113.388,00:00-06:00
Albacete,CM-412,2026-01-18T04:00:00Z,1,273.232,273.232,00:00-06:00
Albacete,CM-3225,2026-01-18T05:00:00Z,1,12.462,12.462,00:00-06:00
Albacete,CM-3225,2026-01-18T06:00:00Z,1,12.517,12.517,06:00-12:00
Albacete,N-430a,2026-01-18T08:00:00Z,1,587.096,587.096,06:00-12:00
Albacete,CM-3218,2026-01-18T09:00:00Z,1,17.916,17.916,06:00-12:00
Albacete,A-31,2026-01-18T10:00:00Z,2,33.63,91.501,06:00-12:00
Albacete,A-31,2026-01-18T11:00:00Z,4,44.093,64.272,06:00-12:00
Albacete,N-322,2026-01-18T12:00:00Z,4,304.961,325.251,12:00-18:00
Albacete,A-31,2026-01-18T17:00:00Z,1,38.832,38.832,12:00-18:00
Almería,A-1207,2026-01-17T11:00:00Z,2,0.258,1.138,06:00-12:00
Almería,A-1207,2026-01-17T12:00:00Z,1,0.26,0.26,12:00-18:00
Almería,A-334,2026-01-17T13:00:00Z,1,37.039,37.039,12:00-18:00
Almería,N-344a,2026-01-17T19:00:00Z,1,6.859,6.859,18:00-00:00
Almería,A-1050,2026-01-17T20:00:00Z,3,0.124,2.541,18:00-00:00
Almería,AL-6403,2026-01-17T21:00:00Z,1,1.474,1.474,18:00-00:00
Almería,A-7,2026-01-17T22:00:00Z,3,773.19,817.079,18:00-00:00
Almería,A-334,2026-01-17T23:00:00Z,1,74.737,74.737,18:00-00:00
Almería,A-1051,2026-01-18T00:00:00Z,1,0.308,0.308,00:00-06:00
Almería,A-1075,2026-01-18T01:00:00Z,1,23.356,23.356,00:00-06:00
Almería,A-1075,2026-01-18T02:00:00Z,3,10.307,18.827,00:00-06:00
Almería,A-7,2026-01-18T04:00:00Z,1,744.14,744.14,00:00-06:00
Almería,N-340a,2026-01-18T05:00:00Z,1,437.735,437.735,00:00-06:00
Almería,A-1102,2026-01-18T06:00:00Z,1,5.096,5.096,06:00-12:00
Almería,A-7,2026-01-18T07:00:00Z,6,742.388,762.005,06:00-12:00
Almería,A-7,2026-01-18T08:00:00Z,8,759.338,821.318,06:00-12:00
Almería,A-7,2026-01-18T09:00:00Z,7,773.052,820.296,06:00-12:00
Almería,AL-3117,2026-01-18T10:00:00Z,4,1.853,8.806,06:00-12:00
Almería,A-334,2026-01-18T11:00:00Z,3,43.571,49.72,06:00-12:00
Almería,N-340a,2026-01-18T12:00:00Z,3,437.866,456.618,12:00-18:00
Almería,A-7,2026-01-18T16:00:00Z,1,799.57,799.57,12:00-18:00
Almería,A-7,2026-01-18T17:00:00Z,2,712.71,824.109,12:00-18:00
Asturias,A-8,2026-01-17T11:00:00Z,3,357.258,496.144,06:00-12:00
Asturias,A-66,2026-01-17T12:00:00Z,2,13.838,26.322,12:00-18:00
Asturias,AS-216,2026-01-17T13:00:00Z,1,5.916,5.916,12:00-18:00
Asturias,A-66,2026-01-17T19:00:00Z,2,48.602,48.604,18:00-00:00
Asturias,A-8,2026-01-17T20:00:00Z,4,397.64,463.741,18:00-00:00
Asturias,A-8,2026-01-17T21:00:00Z,4,394.049,478.527,18:00-00:00
Asturias,A-66,2026-01-17T22:00:00Z,1,48.606,48.606,18:00-00:00
Asturias,A-66,2026-01-17T23:00:00Z,2,17.166,48.602,18:00-00:00
Asturias,AS-378,2026-01-18T00:00:00Z,1,9.067,9.067,00:00-06:00
Asturias,A-64,2026-01-18T01:00:00Z,1,25.467,25.467,00:00-06:00
Asturias,AS-112,2026-01-18T02:00:00Z,2,38.867,41.775,00:00-06:00
Asturias,AS-15,2026-01-18T03:00:00Z,1,64.264,64.264,00:00-06:00
Asturias,A-66,2026-01-18T05:00:00Z,1,12.604,12.604,00:00-06:00
Asturias,A-64,2026-01-18T06:00:00Z,1,18.733,18.733,06:00-12:00
Asturias,CT-2,2026-01-18T07:00:00Z,1,1.481,1.481,06:00-12:00
Asturias,A-8,2026-01-18T08:00:00Z,1,302.411,302.411,06:00-12:00
Asturias,A-66,2026-01-18T09:00:00Z,1,19.934,19.934,06:00-12:00
Asturias,A-8,2026-01-18T10:00:00Z,1,388.416,388.416,06:00-12:00
Asturias,A-66,2026-01-18T11:00:00Z,1,37.214,37.214,06:00-12:00
Asturias,AS-117,2026-01-18T12:00:00Z,3,37.105,44.804,12:00-18:00
Asturias,A-66,2026-01-18T16:00:00Z,2,34.904,36.297,12:00-18:00
Badajoz,A-5,2026-01-17T11:00:00Z,1,343.787,343.787,06:00-12:00
Badajoz,EX-107,2026-01-17T12:00:00Z,1,24.045,24.045,12:00-18:00
